,날짜,CNY 매매기준율,CNY 구매,CNY 판매,EUR 매매기준율,EUR 구매,EUR 판매,JPY 매매기준율,JPY 구매,JPY 판매,USD 매매기준율,USD 구매,USD 판매
0,2020.08.18,170.94,179.48,162.4,1408.31,1436.33,1380.29,1119.92,1139.51,1100.33,1184.8,1205.53,1164.07
1,2020.08.14,170.91,179.45,162.37,1402.79,1430.7,1374.88,1113.19,1132.67,1093.71,1187.5,1208.28,1166.72
2,2020.08.13,170.67,179.2,162.14,1403.4,1431.32,1375.48,1108.82,1128.22,1089.42,1184.5,1205.22,1163.78
3,2020.08.12,170.57,179.09,162.05,1394.39,1422.13,1366.65,1108.72,1128.12,1089.32,1184.5,1205.22,1163.78
4,2020.08.11,170.68,179.21,162.15,1395.93,1423.7,1368.16,1115.93,1135.45,1096.41,1184.5,1205.22,1163.78
5,2020.08.10,170.33,178.84,161.82,1395.91,1423.68,1368.14,1118.86,1138.44,1099.28,1187.5,1208.28,1166.72
6,2020.08.07,170.61,179.14,162.08,1401.0,1428.87,1373.13,1122.02,1141.65,1102.39,1188.5,1209.29,1167.71
7,2020.08.06,170.59,179.11,162.07,1404.28,1432.22,1376.34,1123.27,1142.92,1103.62,1185.5,1206.24,1164.76
8,2020.08.05,171.18,179.73,162.63,1407.42,1435.42,1379.42,1123.24,1142.89,1103.59,1188.0,1208.79,1167.21
9,2020.08.04,170.99,179.53,162.45,1406.76,1434.75,1378.77,1126.2,1145.9,1106.5,1194.5,1215.4,1173.6
10,2020.08.03,171.11,179.66,162.56,1401.96,1429.85,1374.07,1126.69,1146.4,1106.98,1195.7,1216.62,1174.78
11,2020.07.31,170.67,179.2,162.14,1410.74,1438.81,1382.67,1137.32,1157.22,1117.42,1191.0,1211.84,1170.16
12,2020.07.30,170.68,179.21,162.15,1404.82,1432.77,1376.87,1138.13,1158.04,1118.22,1196.0,1216.93,1175.07
13,2020.07.29,170.56,179.08,162.04,1401.4,1429.28,1373.52,1137.09,1156.98,1117.2,1194.0,1214.89,1173.11
14,2020.07.28,171.27,179.83,162.71,1407.61,1435.62,1379.6,1140.26,1160.21,1120.31,1199.5,1220.49,1178.51
15,2020.07.27,170.88,179.42,162.34,1403.6,1431.53,1375.67,1136.81,1156.7,1116.92,1197.0,1217.94,1176.06
16,2020.07.24,171.41,179.98,162.84,1395.07,1422.83,1367.31,1131.42,1151.21,1111.63,1204.0,1225.07,1182.93
17,2020.07.23,171.14,179.69,162.59,1388.52,1416.15,1360.89,1118.42,1137.99,1098.85,1198.5,1219.47,1177.53
18,2020.07.22,171.1,179.65,162.55,1385.23,1412.79,1357.67,1119.16,1138.74,1099.58,1197.0,1217.94,1176.06
19,2020.07.21,171.15,179.7,162.6,1369.72,1396.97,1342.47,1115.2,1134.71,1095.69,1196.0,1216.93,1175.07
20,2020.07.20,172.14,180.74,163.54,1377.19,1404.59,1349.79,1122.57,1142.21,1102.93,1203.0,1224.05,1181.95
21,2020.07.17,172.25,180.86,163.64,1377.13,1404.53,1349.73,1124.8,1144.48,1105.12,1205.0,1226.08,1183.92
22,2020.07.16,172.21,180.82,163.6,1372.31,1399.61,1345.01,1124.33,1144.0,1104.66,1205.0,1226.08,1183.92
23,2020.07.15,171.82,180.41,163.23,1373.34,1400.66,1346.02,1123.53,1143.19,1103.87,1201.0,1222.01,1179.99
24,2020.07.14,171.88,180.47,163.29,1370.95,1398.23,1343.67,1123.53,1143.19,1103.87,1206.5,1227.61,1185.39
25,2020.07.13,171.84,180.43,163.25,1362.64,1389.75,1335.53,1123.51,1143.17,1103.85,1203.0,1224.05,1181.95
26,2020.07.10,171.56,180.13,162.99,1356.47,1383.46,1329.48,1124.48,1144.15,1104.81,1201.0,1222.01,1179.99
27,2020.07.09,171.09,179.64,162.54,1353.58,1380.51,1326.65,1112.92,1132.39,1093.45,1195.0,1215.91,1174.09
28,2020.07.08,170.36,178.87,161.85,1348.5,1375.33,1321.67,1111.01,1130.45,1091.57,1195.0,1215.91,1174.09
29,2020.07.07,170.45,178.97,161.93,1349.86,1376.72,1323.0,1111.63,1131.08,1092.18,1197.0,1217.94,1176.06
30,2020.07.06,170.06,178.56,161.56,1348.32,1375.15,1321.49,1109.97,1129.39,1090.55,1194.0,1214.89,1173.11
31,2020.07.03,169.74,178.22,161.26,1347.28,1374.09,1320.47,1115.81,1135.33,1096.29,1199.5,1220.49,1178.51
32,2020.07.02,169.59,178.06,161.12,1353.49,1380.42,1326.56,1115.61,1135.13,1096.09,1199.0,1219.98,1178.02
33,2020.07.01,170.29,178.8,161.78,1348.28,1375.11,1321.45,1119.38,1138.96,1099.8,1203.5,1224.56,1182.44
34,2020.06.30,170.01,178.51,161.51,1348.38,1375.21,1321.55,1116.73,1136.27,1097.19,1203.0,1224.05,1181.95
35,2020.06.29,169.78,178.26,161.3,1354.34,1381.29,1327.39,1120.03,1139.63,1100.43,1200.5,1221.5,1179.5
36,2020.06.26,169.41,177.88,160.94,1347.48,1374.29,1320.67,1123.02,1142.67,1103.37,1204.0,1225.07,1182.93
37,2020.06.25,169.94,178.43,161.45,1349.42,1376.27,1322.57,1122.2,1141.83,1102.57,1203.5,1224.56,1182.44
38,2020.06.24,170.27,178.78,161.76,1359.55,1386.6,1332.5,1128.63,1148.38,1108.88,1202.5,1223.54,1181.46
39,2020.06.23,171.2,179.76,162.64,1365.63,1392.8,1338.46,1129.12,1148.87,1109.37,1209.0,1230.15,1187.85
40,2020.06.22,171.74,180.32,163.16,1362.23,1389.33,1335.13,1135.8,1155.67,1115.93,1214.0,1235.24,1192.76
41,2020.06.19,171.02,179.57,162.47,1355.12,1382.08,1328.16,1131.27,1151.06,1111.48,1209.5,1230.66,1188.34
42,2020.06.18,170.97,179.51,162.43,1360.93,1388.01,1333.85,1130.06,1149.83,1110.29,1209.5,1230.66,1188.34
43,2020.06.17,171.41,179.98,162.84,1364.28,1391.42,1337.14,1130.36,1150.14,1110.58,1213.5,1234.73,1192.27
44,2020.06.16,171.45,180.02,162.88,1371.74,1399.03,1344.45,1129.49,1149.25,1109.73,1212.0,1233.21,1190.79
45,2020.06.15,171.36,179.92,162.8,1367.19,1394.39,1339.99,1132.91,1152.73,1113.09,1215.5,1236.77,1194.23
46,2020.06.12,170.03,178.53,161.53,1359.75,1386.8,1332.7,1120.48,1140.08,1100.88,1203.0,1224.05,1181.95
47,2020.06.11,169.26,177.72,160.8,1360.72,1387.79,1333.65,1117.45,1137.0,1097.9,1195.5,1216.42,1174.58
48,2020.06.10,168.71,177.14,160.28,1353.57,1380.5,1326.64,1109.35,1128.76,1089.94,1191.0,1211.84,1170.16
49,2020.06.09,169.49,177.96,161.02,1354.67,1381.62,1327.72,1111.37,1130.81,1091.93,1201.0,1222.01,1179.99
50,2020.06.08,169.86,178.35,161.37,1354.07,1381.01,1327.13,1098.06,1117.27,1078.85,1201.0,1222.01,1179.99
51,2020.06.05,170.46,178.98,161.94,1370.04,1397.3,1342.78,1106.48,1125.84,1087.12,1209.0,1230.15,1187.85
52,2020.06.04,171.16,179.71,162.61,1366.51,1393.7,1339.32,1119.94,1139.53,1100.35,1219.5,1240.84,1198.16
53,2020.06.03,171.06,179.61,162.51,1363.83,1390.97,1336.69,1119.13,1138.71,1099.55,1217.0,1238.29,1195.71
54,2020.06.02,171.87,180.46,163.28,1365.23,1392.39,1338.07,1134.31,1154.16,1114.46,1222.5,1243.89,1201.11
55,2020.06.01,171.88,180.47,163.29,1363.82,1390.96,1336.68,1140.1,1160.05,1120.15,1228.0,1249.49,1206.51
56,2020.05.29,172.88,181.52,164.24,1377.89,1405.31,1350.47,1154.47,1174.67,1134.27,1238.0,1259.66,1216.34
57,2020.05.28,172.83,181.47,164.19,1364.56,1391.71,1337.41,1150.65,1170.78,1130.52,1240.0,1261.7,1218.3
58,2020.05.27,172.13,180.73,163.53,1360.11,1387.17,1333.05,1145.97,1166.02,1125.92,1234.5,1256.1,1212.9
59,2020.05.26,172.73,181.36,164.1,1351.85,1378.75,1324.95,1146.36,1166.42,1126.3,1234.0,1255.59,1212.41
60,2020.05.25,173.61,182.29,164.93,1353.22,1380.14,1326.3,1153.15,1173.33,1132.97,1242.0,1263.73,1220.27
61,2020.05.22,173.46,182.13,164.79,1352.83,1379.75,1325.91,1154.65,1174.85,1134.45,1240.5,1262.2,1218.8
62,2020.05.21,172.94,181.58,164.3,1352.5,1379.41,1325.59,1142.26,1162.24,1122.28,1230.5,1252.03,1208.97
63,2020.05.20,172.82,181.46,164.18,1345.2,1371.96,1318.44,1141.98,1161.96,1122.0,1229.0,1250.5,1207.5
64,2020.05.19,172.16,180.76,163.56,1343.02,1369.74,1316.3,1139.56,1159.5,1119.62,1226.0,1247.45,1204.55
65,2020.05.18,172.94,181.58,164.3,1334.93,1361.49,1308.37,1151.0,1171.14,1130.86,1234.5,1256.1,1212.9
66,2020.05.15,172.69,181.32,164.06,1329.86,1356.32,1303.4,1150.0,1170.12,1129.88,1230.5,1252.03,1208.97
67,2020.05.14,172.58,181.2,163.96,1325.8,1352.18,1299.42,1147.97,1168.05,1127.89,1228.5,1249.99,1207.01
68,2020.05.13,172.28,180.89,163.67,1329.38,1355.83,1302.93,1144.13,1164.15,1124.11,1224.5,1245.92,1203.08
69,2020.05.12,172.49,181.11,163.87,1326.33,1352.72,1299.94,1139.4,1159.33,1119.47,1224.0,1245.42,1202.58
70,2020.05.11,172.32,180.93,163.71,1324.43,1350.78,1298.08,1140.99,1160.95,1121.03,1224.0,1245.42,1202.58
71,2020.05.08,172.32,180.93,163.71,1323.99,1350.33,1297.65,1147.99,1168.07,1127.91,1221.0,1242.36,1199.64
72,2020.05.07,172.19,180.79,163.59,1320.33,1346.6,1294.06,1148.54,1168.63,1128.45,1224.0,1245.42,1202.58
73,2020.05.06,172.13,180.73,163.53,1323.85,1350.19,1297.51,1153.3,1173.48,1133.12,1225.5,1246.94,1204.06
74,2020.05.04,172.02,180.62,163.42,1339.84,1366.5,1313.18,1147.1,1167.17,1127.03,1225.5,1246.94,1204.06
75,2020.04.29,172.06,180.66,163.46,1344.56,1348.56,1295.94,1144.55,1164.57,1124.53,1219.0,1240.33,1197.67
76,2020.04.28,172.23,180.84,163.62,1326.76,1353.16,1300.36,1143.3,1163.3,1123.3,1219.5,1240.84,1198.16
77,2020.04.27,173.0,181.65,164.35,1330.95,1357.43,1304.47,1144.78,1164.81,1124.75,1226.0,1247.45,1204.55
78,2020.04.24,174.1,182.8,165.4,1330.67,1357.15,1304.19,1147.2,1167.27,1127.13,1234.5,1256.1,1212.9
79,2020.04.23,173.55,182.22,164.88,1326.53,1352.92,1300.14,1144.53,1164.55,1124.51,1231.0,1252.54,1209.46
80,2020.04.22,173.57,182.24,164.9,1339.31,1365.96,1312.66,1144.56,1164.58,1124.54,1232.0,1253.56,1210.44
81,2020.04.21,173.27,181.93,164.61,1333.73,1360.27,1307.19,1145.92,1165.97,1125.87,1231.0,1252.54,1209.46
82,2020.04.20,172.22,180.83,163.61,1325.23,1351.6,1298.86,1132.36,1152.17,1112.55,1220.0,1241.35,1198.65
